Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	Variance
0	-0.0005545230938369198	-1.2961779282742705	-0.013251379226438428	-0.0011396453681148655	0.0	-0.00019847387575283715	0.0	0.0	0.0	-0.011670247774835843	0.0	-0.14882529960791077	-0.011940074590789992	-0.010404744733500133	-0.0011442719731352736	-0.05857513068327449	0.0	-0.0003464547453527638	-0.0006440634020372224	-0.27265560895190943	0.49920195011399454
1	-8.37209366167289e-06	-0.51417291506074	0.0007256130437025036	0.003056671939815162	0.0	0.0001274924791678272	0.0	0.0	0.0	-0.001475385483510145	0.0	0.043946990798529054	-0.0003961484642667247	-0.0031014279821497378	-0.0009384431049986802	0.006768427321618252	0.0	0.0014277017567471144	0.0007209517552155829	0.0036653409995485325	0.29440050626092235
2	-0.000541045910588868	0.004707266303286694	-0.010483854615135608	0.0005727115798594419	0.0	-0.00013443658417184332	0.0	0.0	0.0	-0.0061954141414461	0.0	0.0022928262710623796	0.0038915086723220163	0.0026732153440916684	-0.0011485010813984612	0.029171690942855877	0.0	-0.0008912262918247787	-0.00020998013871385135	-0.08367384172143588	0.12969434618612902
3	-0.00010204626107980073	-0.0019508995950010173	7.36583763332045e-05	-5.494151320591303e-05	0.0	0.00017683916266897674	0.0	0.0	0.0	0.00200190542379782	0.0	-0.000709121738628526	-0.0036293356236407346	-0.002254517527286684	0.00010662910447322629	-0.041257507362971346	0.0	-0.0003689477198891658	-0.0007866886265059422	-0.010283968902344254	0.02906269344287774
4	-0.000332700694462489	0.0014020919873717489	-0.005480211812264676	-0.002023278909490279	0.0	0.000118755762138494	0.0	0.0	0.0	-0.006550722281098264	0.0	-0.024491052921299983	-0.005641638729968502	-0.000920587387993654	-0.0009178186265351781	0.04492865982912301	0.0	-0.001832466480056519	-0.0007776090503887924	-0.08558890486712142	0.019336898382892834
5	-0.00012415982043486828	0.30452358867758744	-0.0008519378375860597	-0.0021575109967803333	0.0	-1.6486995539239812e-05	0.0	0.0	0.0	-0.0004762674015075129	0.0	0.004536429356593112	0.00344295512577317	0.008644946482451253	-0.000719943396796016	0.0770286528748726	0.0	-0.001474524462638275	-0.0007235106835815461	-0.01892852929121695	0.018318111072716116
6	0.00013161558353152195	0.06334147693180817	0.0017470150932963311	-0.0014724214161732237	0.0	0.00022499732263806603	0.0	0.0	0.0	0.0011002081146449837	0.0	0.02602643778229671	0.0002102477847454779	-0.0013796252001543506	0.00010027799426573984	-0.010052714219334936	0.0	9.313542386393539e-05	0.00036298753012838666	0.007324862117076767	0.004993989469788421
7	2.212454893822499e-06	0.060236362729079646	-0.005225458257958363	0.00022656427420947366	0.0	0.00011456965941736173	0.0	0.0	0.0	0.0032596762627936393	0.0	-0.025582467786839237	0.005947133897743619	-0.0008779848654522964	-0.00012917975661530016	-0.020650811191272513	0.0	-0.0017173468054220177	-0.0017827050391854991	0.028910096053895374	0.002059623084967926
8	0.00026653772682229247	0.08904806932106166	0.000832512100139841	1.1111218691451374e-05	0.0	-6.301514020956026e-05	0.0	0.0	0.0	-0.002692899088556482	0.0	0.031998353708565117	-0.008518975327627624	0.009195091153327725	6.578144225520788e-05	0.01134607094825365	0.0	-0.001545670485447617	0.0021781328244084687	-0.007230869093567659	0.0008945461616552378
9	-0.00018932973519953858	0.016817921975205232	-0.003620403002603675	-0.000894687188474788	0.0	-9.247777670014692e-05	0.0	0.0	0.0	-0.0001616635126087948	0.0	0.01428133853356926	0.0018636589093410994	-0.001092653766155542	-0.0012523587201464024	0.0011997712551252734	0.0	-0.0008709913359640521	0.00018620462184265163	-0.026029404393418228	0.0007440109221832951
